Train_num(No.),Ori_file_num(No.),Train_start(s),Train_end(s),Train_duration(ms),Num_of_pulses,Mean_SNR(dB),Mean_IPI(ms),Mean_SPLpp(dB),Mean_Duration(μs),Mean_Fpeak(kHz),Mean_Bandwidth_-3dB(kHz),Mean_Bandwidth_-10dB(kHz)
141,6,1302.485,1302.9516,466.56,25,51.7,19.43,160.47,85.28,77.72,11.14,85.03
142,6,1303.1164,1303.1955,79.14,6,46.5,15.69,160.79,83.46,79.94,13.24,101.54
143,6,1303.3799,1303.6203,240.43,9,57.9,30.03,164.13,69.06,65.25,12.06,53.06
144,6,1321.9381,1322.8791,941.01,25,45.4,39.2,153.53,66,56.61,21.21,87.79
145,6,1324.9404,1325.089,148.58,9,43.9,18.55,166.48,55.36,56.5,20.5,79.38
146,6,1327.6025,1328.7643,1161.79,19,61.4,64.53,169.59,61.49,75.23,18.89,86.71
147,6,1337.5437,1338.5389,995.19,27,47.4,38.27,164.82,51.12,98.38,33.92,79.3
148,6,1339.1947,1342.8722,3677.49,111,54.9,33.43,160.01,37.4,69.64,31.1,90.88
149,6,1344.5617,1344.7249,163.24,3,48.4,81.52,163.59,77.55,66.19,28.88,80.81
150,6,1381.0801,1382.5717,1491.56,21,50.4,74.47,163.31,42.94,95.06,40.66,93.07
151,6,1383.6537,1384.292,638.32,22,54.8,30.38,167.99,41.64,79.7,43.68,95.4
152,6,1400.636,1400.9869,350.83,3,44.4,175.31,146.82,57.87,103.5,14.62,55.5
153,6,1404.6778,1404.817,139.23,3,60.3,69.51,172.49,70.02,103.31,10.12,65.81
154,6,1405.2937,1406.1573,863.63,10,50.7,95.94,170.73,58.01,89.84,28.07,92.71
155,6,1408.6379,1409.1017,463.84,27,56.7,17.67,178.4,72.66,52.37,25.76,88.15
156,6,1449.9449,1452.6193,2674.45,60,50.8,45.33,155.8,42.51,62.8,33.14,85.49
157,6,1452.9782,1456.5974,3619.19,84,45.1,43.6,160.12,49.15,60.33,28.66,80.16
158,6,1456.9332,1457.0862,152.97,7,36.6,25.42,151,69.98,39.21,24.23,50.8
159,6,1499.9765,1503.2352,3258.67,47,45.1,70.84,152.95,98,107.97,10.36,46.91
160,6,1532.0345,1535.6486,3614.14,30,45,117.17,155.41,77.05,105.37,15.29,63.59
161,6,1532.0345,1534.2539,2219.41,59,44.8,37.98,153.18,81.7,96.68,13.9,67.89
162,6,1617.0727,1618.0427,970.03,9,61,121.23,170.56,75.04,96.94,10.44,65.69
163,6,1622.1349,1622.1924,57.54,3,41.4,28.67,158.53,60.19,63.94,14.62,37.88
164,6,1622.8157,1622.8927,76.94,3,74,38.37,174.47,37.04,94.12,21.19,46.12
165,6,1707.0439,1707.1861,142.13,4,50.3,47.31,159.8,69.88,39.66,22.22,93.09
166,6,1769.7126,1773.9787,4266.07,47,37.9,92.45,149.4,46.72,94.06,20.97,88.17
167,7,54.4138,58.3238,3909.99,99,59.6,39.9,162.44,52.14,102.32,20.83,105.1
168,7,98.0849,102.9606,4875.71,57,58.4,87.06,160.61,62.44,108.06,18.34,80.8
169,7,143.2663,145.7806,2514.26,18,57,147.89,161.24,65.49,97.22,16.84,85.34
170,7,1138.2263,1141.4906,3264.29,110,53.5,29.95,154.14,95.28,103.06,15.46,60.84
171,7,1141.7801,1142.4527,672.62,32,58.5,21.69,158.74,62.39,98.19,17.44,84.15
172,7,1143.6444,1144.373,728.66,33,59.9,22.76,161.05,52.08,106.11,22.94,125.01
173,7,1145.0079,1145.574,566.18,22,61.9,26.95,162.63,53.35,112.12,18.77,131.62
174,7,1145.853,1146.3253,472.27,19,55.8,26.23,159.79,58.66,97.22,27.86,104.54
175,7,1514.8053,1515.543,737.74,3,46.6,368.77,142.03,51.5,67.31,27,68.62
176,7,1517.4399,1518.1707,730.83,3,48.5,365.31,141.21,68.29,53.81,14.81,61.69
177,8,845.6986,846.4041,705.47,37,61.9,19.59,178.22,64.14,94.03,19.67,59.82
178,8,849.4235,850.4305,1007,31,51,33.41,167.96,75.09,86.45,14.91,93.61
179,8,856.0183,856.1076,89.32,5,63.8,22.28,178.74,48.61,37.8,21.94,79.2
180,8,858.2459,858.8434,597.43,20,62.2,31.43,174.9,53.82,61.57,23.01,110.11
181,8,884.3443,886.4799,2135.65,23,56.5,97.07,171.68,51.93,95.87,26.73,101.49
182,8,887.6341,888.596,961.83,14,58.5,73.97,177.84,41.54,104.87,25.27,93.33
183,8,898.4196,899.7209,1301.24,29,62.5,42.71,180.56,63.94,107.98,16.33,98.86
184,8,901.309,903.8919,2582.91,64,56.9,40.8,172.88,79.16,96.42,15.09,95.3
185,8,907.9666,908.5253,558.7,16,51.3,36.84,172.1,81.23,87.82,12.61,62.67
186,8,912.5059,913.2885,782.52,15,53.5,55.88,171.67,54.86,97.88,18.07,91.5
187,8,913.6735,914.0338,360.26,8,58.3,51.44,169.32,59.24,97.73,9.49,98.23
188,8,914.7784,915.2591,480.68,14,61.7,36.96,171.31,57.29,100.21,10.77,93.66
189,8,1075.7165,1076.582,865.52,47,53.9,17.93,161.71,53.27,109.74,22.68,92.36
190,8,1088.6312,1092.4737,3842.49,88,49.7,43.47,161.03,70.05,94.03,27.69,116.54
191,8,1092.9386,1093.565,626.37,18,56.3,36.83,170.48,64.43,87.19,12.25,95
192,8,1094.7288,1094.9271,198.29,6,61.7,39.62,175.81,59.32,84.66,11.44,98.91
193,8,1095.7964,1096.1824,386.02,15,58.3,27.56,172.67,54.75,67.72,12.41,101.81
194,8,1096.6562,1096.9711,314.97,9,59.4,39.35,171.91,59.8,91.69,11.5,109.38
195,8,1100.6058,1101.1824,576.59,29,57,20.59,174.68,50.05,70.93,27.68,103.71
196,8,1102.3123,1102.791,478.73,21,53.7,23.93,174.17,44.06,73.98,20.81,83.87
197,8,1103.4983,1103.9034,405.11,18,49.7,23.82,174.53,78.51,82.47,14.34,110.91
198,8,1104.34,1104.5152,175.24,6,64.8,35.01,177.93,36.75,74.62,27.75,110.81
199,8,1107.4373,1107.9217,484.39,15,60.9,34.58,190.12,55.21,68.92,19.8,99.79
200,8,1114.0724,1114.7593,686.85,33,52.3,21.46,175.81,50.49,54.62,28.32,81.6
201,8,1176.0537,1177.0658,1012.09,19,43.9,56.22,158.15,86.42,77.87,16.67,73.36
202,8,1178.7947,1179.8217,1027.02,19,54.9,57.05,168.63,78.86,109.75,15.39,52.52
203,8,1309.5386,1309.8766,337.98,9,58.2,42.22,167.08,101.66,107.69,9.81,71
204,8,1326.988,1329.781,2793.05,94,61.7,30.03,173.49,64.73,101.44,15.29,91.05
205,8,1330.2977,1331.2738,976.1,38,60.3,26.38,173.51,53.73,104.95,19.21,103.65
206,8,1335.7057,1336.9953,1289.57,45,47.9,29.27,162.69,56.85,77.93,31.3,99.32
207,8,1338.0912,1338.9431,851.95,29,63.8,30.42,172.68,36.22,68.94,25.43,99.52
208,8,1339.6723,1341.9441,2271.82,111,56.4,20.57,170.48,76.36,67.02,14.97,90.2
209,8,1360.5796,1361.0846,505.04,22,51.3,24.04,168.09,80.07,73.78,16.73,95.2
210,8,1363.5522,1364.6648,1112.62,52,53.4,21.81,169.7,66.91,77.87,23.45,94.65
211,8,1365.8796,1366.1273,247.69,13,67,20.62,184.3,47.41,61.4,30.16,85.54
212,8,1366.3733,1367.0585,685.24,36,65,19.57,182.14,35.69,61.27,28.08,85.2
213,8,1367.2364,1367.3373,100.93,6,67.5,20.15,179.92,46.3,33.38,19.69,68.62
214,8,1367.4628,1367.7139,251.14,13,62.8,20.91,184.52,46.47,51.49,25.66,95.71
215,8,1379.4896,1380.3548,865.18,20,47.9,45.43,158.51,94.91,95.42,17.3,93.42
216,8,1383.2767,1384.442,1165.28,31,53.1,38.84,164.95,83.11,76.4,17.47,90.16
217,8,1385.0098,1385.7975,787.69,31,51.6,26.19,162.23,87.42,83.38,18.73,96.27
218,8,1398.4638,1400.178,1714.16,40,60.5,43.95,175.35,72.28,98.46,19.28,86.43
219,8,1401.039,1402.4716,1432.63,29,56.9,50.95,169.64,38.76,107.36,26.51,107.24
220,8,1415.2327,1415.8681,635.38,22,57.5,30.25,175.48,39.93,69.32,28.99,87.88
221,8,1416.1494,1417.1005,951.15,23,46.4,41.24,159.67,70.32,72.68,31.88,70.13
222,8,1417.4755,1418.2037,728.27,23,62.7,33.09,175.81,60.76,90.9,16.61,103.72
223,8,1422.7847,1424.9165,2131.75,58,56.1,37.4,169.28,50.35,80.52,21.92,112.09
224,8,1432.016,1433.8653,1849.25,29,50.2,63.46,162.47,89.21,79.6,15.26,85.32
225,8,1434.6212,1434.9633,342.15,9,57.6,42.74,174.63,82.18,77.56,11.88,77.75
226,8,1439.1992,1439.3987,199.5,9,66.8,24.91,183.12,63.85,59.19,11.44,95.94
227,8,1441.903,1443.1231,1220.08,35,53.7,35.88,171.15,57.29,88.59,23.05,93.71
228,8,1444.8542,1445.3745,520.36,18,58.5,30.6,172.62,68.09,80.91,13.91,107.72
229,8,1445.7845,1446.1777,393.19,18,57.3,23.12,179.72,51.5,80.88,20.84,123.47
230,8,1446.8654,1447.4494,583.97,26,52.9,23.35,177.19,72.12,67.22,13.11,87.38
231,8,1453.2462,1454.0649,818.67,23,64.1,37.2,178.59,69.97,99.46,20.2,70.78
232,8,1458.7916,1459.3377,546.16,22,60.1,26,172.85,41.11,64.69,24.01,104.83
233,8,1460.6322,1460.8685,236.23,9,62.7,29.5,173.34,72.92,99.75,14.75,94.38
234,8,1461.4912,1461.7583,267.14,9,50.7,33.37,172.08,73.69,78.75,14.19,63.81
235,8,1462.0454,1462.4664,421.07,18,60,24.76,170.48,64.24,74.97,11.44,49.59
236,8,1463.1618,1466.2437,3081.84,74,62.2,42.21,170.53,85.56,93.46,12.09,42.83
237,8,1567.3638,1567.4926,128.79,5,48.4,32.15,171.92,70.14,54.45,9.79,52.42
238,8,1567.6782,1568.1647,486.47,20,59.1,25.59,175.71,56.77,54.73,22.05,81.06
239,8,1568.6487,1569.593,944.28,35,51.2,27.77,168.11,69.58,47.34,18.5,73.62
240,8,1571.0328,1572.1048,1072.03,31,50.4,35.73,176.41,63.13,48.4,26.6,73.85
241,8,1578.4559,1579.0382,582.3,16,59.1,38.73,172.49,35.05,75.09,36.95,89.58
242,8,1579.3096,1579.6704,360.83,11,52.3,35.91,164.9,43.63,71.88,20.9,85.1
243,8,1581.0455,1581.5134,467.83,11,56,46.76,168.8,39.14,63.41,25.98,77.73
244,8,1598.278,1599.2008,922.78,16,59.4,61.51,170.66,34.83,95.55,30.94,110.04
245,8,1620.7085,1622.0393,1330.82,19,50.8,73.92,167.25,44.51,105.25,41.65,110.67
246,8,1622.5378,1623.0962,558.44,10,46.7,62.03,167.42,46.82,103.08,22.54,106.97
247,8,1624.9781,1627.0739,2095.86,75,58.3,28.32,168.04,85.56,89.3,20.2,56.51
248,8,1648.7844,1650.4596,1675.2,30,59,55.55,172.46,31.08,90.21,36.3,110.61
249,8,1687.9887,1689.594,1605.22,38,64.1,43.38,171.2,46.74,102.85,21.4,93.43
250,9,24.676,25.184,507.98,4,46.8,169.26,165.51,108.94,90.98,10.12,46.83
251,9,291.612,292.144,531.96,5,43.3,115.83,168.86,53.98,102.58,18.04,84.77
252,9,555.9059,556.509,603.07,17,52.9,37.68,158.49,72.3,83.12,18.2,103.4
253,9,556.8301,557.2379,407.78,6,52.8,81.52,161.25,114.58,73.5,13.41,41.53
254,9,612.4901,613.6436,1153.48,15,46.5,80.43,162.51,63.96,79.39,27.8,111.14
255,9,616.3801,616.8461,465.96,6,31.8,93.15,146.4,92.87,53.82,15.5,58.24
256,9,623.3003,623.7182,417.87,5,46.9,104.42,163.78,102.32,81.16,8.12,36.41
257,9,670.1765,670.3834,206.94,7,35.9,34.46,145.32,144.1,51.59,6.59,43.47
258,9,681.5501,681.7886,238.5,8,38.9,33.21,150.65,108.55,55.16,24.73,46.71
259,9,682.207,682.3395,132.44,4,31,44.08,156.03,72.48,84.94,20.25,72
260,9,760.8644,761.2523,387.93,8,39.1,55.39,148.25,64.67,74.46,23.2,97.73
261,9,908.006,909.4084,1402.43,21,44.4,70.11,163.59,50.25,96.86,20.21,88.38
262,9,921.6733,924.567,2893.71,92,53,31.8,167.16,83.45,97.83,14.42,36.06
263,9,928.8238,929.1535,329.61,7,62.7,54.9,174.64,86.31,82.93,11.33,47.81
264,9,974.189,974.7243,535.3,6,40.4,107.02,158.89,41.09,75.66,33.66,111.56
265,9,978.0191,978.2092,190.06,3,44.9,94.93,160.75,89.7,93.75,9.38,45.56
266,9,1057.4569,1057.6305,173.65,7,33.6,28.91,165.18,56.72,132.61,36.07,127.29
267,9,1057.6674,1058.8463,1178.92,21,37.7,58.94,165.77,54.79,111.94,24.5,88.03
268,9,1063.9972,1064.581,583.76,6,43.1,109.65,157.79,87.44,45.18,20.76,69.6
269,9,1080.9238,1081.5949,671.11,8,49,95.84,159.78,63.59,55.55,17.37,40.36
270,9,1244.8712,1246.3877,1516.42,18,62.4,89.19,173.19,95.49,94.69,11.12,43.84
271,9,1261.5016,1262.2561,754.43,6,48.8,150.84,164.85,79.86,63.47,10.97,52.41
272,9,1273.8038,1274.8707,1066.92,9,50,133.34,162.09,21.73,56.61,54.86,113.72
273,9,1287.2189,1287.9164,697.53,7,45.3,116.22,165.73,36.46,91.3,32.13,93.48
274,9,1322.5265,1323.0647,538.26,9,54.6,67.26,161.32,76.97,92.56,14.06,54.56
275,9,1331.9584,1332.7036,745.17,7,45.5,124.16,161.73,99.25,55.39,13.12,62.4
276,9,1391.5643,1392.7879,1223.61,21,53,61.15,167.75,62.98,94.15,23.81,95.81
277,9,1402.7164,1403.5093,792.96,11,60.4,79.28,168.98,42.93,73.33,22.19,77.06
278,9,1445.547,1446.6151,1068.15,6,44.5,213.59,154.47,64.23,80.69,36.45,66.97
279,9,1461.2225,1462.1763,953.77,10,42.8,105.95,162.55,53.85,49.99,28.12,64.7
280,9,1489.8857,1491.5986,1712.89,18,35.6,100.75,160.84,95.01,56.95,8.55,49.28
281,9,1533.2581,1534.1674,909.32,12,63.3,82.65,170.86,106.19,59.25,8.44,58.36
282,9,1559.4553,1559.6427,187.35,4,14.7,62.38,165.22,114.58,70.73,7.45,72.14
283,9,1587.2346,1588.5193,1284.65,20,44.2,67.6,160.61,83.72,57.63,19.53,57.85
284,9,1633.1559,1633.6912,535.27,5,49.7,133.77,169.1,78.47,83.25,12.71,41.96
285,9,1641.3927,1641.8103,417.56,9,40.9,52.17,165.36,83.56,71.51,13.59,69.39
286,9,1657.0144,1657.4826,468.16,5,35.4,115.94,156.06,54.5,102.69,15.56,72.14
287,9,1668.1148,1669.1412,1026.43,5,36.7,256.56,161.52,78.12,67.72,12.26,48.49
288,9,1685.1146,1685.7196,604.99,8,41.3,86.4,172.07,69.5,77.85,17.54,68.13
289,10,62.2785,63.7038,1425.26,17,52.1,89.07,164.98,60.56,101.22,14.09,48.5
290,10,65.1777,68.4561,3278.43,48,54.1,69.75,163.11,56.98,74.05,17.92,68.09
291,10,68.8149,70.1509,1336.01,19,65,74.21,164.53,45.41,97.73,17.32,66.23
292,10,71.1344,72.4122,1277.84,20,58.5,67.24,160.28,35.5,98.75,19.27,57.09
293,10,74.0403,74.3328,292.48,5,68.3,73.07,162.44,52.78,96.41,17.44,48.71
294,10,75.2002,76.6648,1464.56,22,54.1,69.73,162.83,58.49,87.77,18.86,51.6
295,10,78.2383,78.9727,734.37,13,57.5,61.18,162.57,35.92,99.48,22.85,48.68
296,10,79.7712,81.149,1377.78,22,55.1,65.6,164.25,50.36,92.61,18.14,45.55
297,10,84.0393,85.0305,991.19,18,54.1,58.29,156.28,56.33,97.38,11.88,33.72
298,10,86.0802,86.6188,538.61,10,68.1,59.82,162.32,56.08,106.99,12.88,58.27
299,10,130.2259,130.8377,611.79,8,53.7,87.37,167.26,52.35,76.65,24.94,41.28
300,10,210.4463,214.6501,4203.8,78,58.2,54.59,162.79,61.03,86.56,17.1,35.9
301,10,224.2319,225.485,1253.03,6,56.5,250.56,158.31,88.83,98.16,9.09,41.81
302,10,246.6887,247.4867,798.03,15,55.5,56.99,154.05,82.75,76.91,12.75,69.41
303,10,249.3079,250.1087,800.84,22,49.9,38.13,153.96,46.43,85.15,21.88,106.29
304,10,251.7341,254.1138,2379.72,65,61.8,37.18,170.64,42.04,81.86,40.6,105.8
305,10,259.2125,261.6692,2456.67,24,60.4,106.8,162.15,99.03,97.38,7.29,24.96
306,10,286.8669,287.3812,514.27,5,34.8,128.52,143.3,62.16,93.11,13.75,84.2
307,10,290.5361,290.6802,144.08,3,60.4,71.94,156.86,63.08,25.12,30.19,96.75
308,10,315.1326,316.8607,1728.14,36,47.4,49.37,159.44,81.73,80.86,17.32,83.3
309,10,317.9681,318.8117,843.59,28,54.8,31.24,168.39,39,65.33,37,80.78
310,10,321.1157,321.5042,388.47,12,62.3,35.3,164.21,38.92,82.97,23.39,97.27
311,10,321.7682,322.7027,934.46,23,68.3,42.47,173.72,32.61,68.5,34.56,103.13
312,10,336.8993,337.5921,692.79,18,46,40.72,156.06,75.44,73.83,11.96,65.32
313,10,338.3771,339.1519,774.83,22,52.1,36.89,158.69,75.44,80.23,16.39,76.93
314,10,339.903,340.3223,419.31,13,50.7,34.93,156.03,75.59,70.49,13.93,84.81
315,10,345.3096,345.9076,598.03,12,43.8,54.35,153.7,80.63,75.38,19.96,75.85
316,10,346.2487,347.0664,817.66,19,46.6,45.41,152.94,82.6,86.65,11.31,66.4
317,10,349.0385,351.3549,2316.37,89,50.3,26.32,156.23,77.06,60.4,23.09,78.41
318,10,368.8451,370.4832,1638.09,35,51.9,48.17,155.65,91.83,99.92,12.37,81.17
319,10,380.7627,381.5146,751.89,14,50.1,57.82,162.96,53.72,68.92,43.76,89.05
320,10,413.4,413.8475,447.54,18,52.7,26.31,168.5,82.54,63.25,28.87,74.61
321,10,474.0847,478.3236,4238.91,154,60.7,27.7,167.8,53.24,95.62,16.4,118.67
322,10,512.531,515.1718,2640.79,46,58.8,58.68,163.29,85.6,99.77,8.84,27.72
323,10,534.3432,535.0861,742.95,4,39.6,247.58,138.62,93.75,75.66,7.17,58.92
324,10,537.7272,538.57,842.8,7,45.4,140.43,146.84,58.78,84.94,16.31,88.39
325,10,539.2533,540.4755,1222.22,20,42.8,64.32,153.9,43.92,76.31,34.8,89.22
326,10,641.2186,642.6415,1422.94,7,59.8,237.12,159.94,87.55,108.32,9.72,32.79
327,10,643.0421,644.7405,1698.35,8,52.6,242.59,159.17,104.6,88.03,7.1,30.52
328,10,676.5618,680.1063,3544.42,71,58.1,50.63,171.32,76.17,76.33,10.91,50.98
329,10,684.9775,687.1399,2162.42,61,65.4,36.04,169.4,55.36,101.66,19.04,108.74
330,10,688.6974,694.5739,5876.5,164,67.3,36.05,173.66,67.19,95.79,16.13,99.21
331,10,694.8555,695.4716,616.11,35,63.9,18.12,181.07,73.46,93.68,15.14,97.28
332,10,702.8396,703.2299,390.28,15,58,27.86,168.72,58.84,57.75,36.86,86.49
333,10,703.4056,703.9907,585.14,26,65.3,23.4,171.6,54.89,62.18,18.13,108.3
334,10,704.4164,704.7662,349.77,20,59.4,18.4,159.87,41.23,62.52,21.09,88.68
335,10,724.2675,724.3377,70.12,3,50.4,34.96,160.36,34.14,99.19,39,88.5
336,10,729.6801,731.4105,1730.37,7,46.7,288.36,160.17,64.8,100.48,19.48,52.01
337,10,733.927,736.1186,2191.6,12,48,199.22,158.63,70.31,89.75,17.05,70.17
338,10,738.5366,741.2516,2714.99,58,53.4,47.41,166.76,57.38,90.07,31.05,107.47
339,10,747.0722,747.2888,216.61,7,63.1,36.07,167.02,76.14,99,8.36,77.46
340,10,753.5539,755.4509,1897.03,13,47.5,158.07,159.88,84.95,81.94,14.09,45.78
341,10,758.7324,761.3508,2618.33,14,58.1,201.39,161.11,86.19,93.46,9.96,32.99
342,10,762.4797,767.417,4937.3,28,60.5,182.86,163.14,56.36,97.63,15.55,33.19
343,10,812.512,815.7326,3220.56,41,51.1,80.51,148.59,77.87,96.57,14.62,67.17
344,10,816.2248,818.1491,1924.31,30,57.3,66.35,155.36,63.31,104.78,16.52,71.03
345,10,820.1538,821.9753,1821.47,33,60.2,56.91,159.84,38.88,86.61,26.11,96.1
346,10,822.3106,826.3319,4021.29,81,52.3,50.26,168.1,50.91,82.01,28.44,86.88
347,10,827.3275,827.6609,333.46,10,57.4,37.03,171.28,68.92,83.53,11.76,69.75
348,10,851.4216,852.3582,936.64,17,56.3,58.53,163.98,52.56,104.47,22.18,86.73
349,10,863.5346,871.6514,8116.8,146,51.8,55.98,155.87,85.91,104.37,11.52,49.35
350,10,874.6869,879.6374,4950.47,100,61.1,50,161.3,72.05,103.31,15.24,85.91
351,10,880.3593,881.4873,1127.99,22,60.3,53.7,165.76,48.53,86.68,14.06,107.11
352,10,882.0296,883.5741,1544.52,29,52.8,55.15,158.93,69.81,99.02,24.82,89.09
353,10,885.5775,887.1867,1609.2,35,66.5,47.32,165.81,57.29,94.66,20.88,109.59
354,10,888.0678,890.8915,2823.69,122,50,23.13,157.63,68.86,70.48,26.79,92.65
355,10,899.247,901.3001,2053.06,38,58.6,53.58,170.26,79.37,66.45,21.61,82.26
356,10,921.6183,922.6981,1079.79,13,59.3,89.97,165.55,63.3,92.68,15.36,100.43
357,10,981.2098,983.5707,2360.89,47,45.7,51.09,158.65,87.72,111.83,17.24,63.9
358,10,987.1738,989.1323,1958.47,57,59.5,34.97,161.5,102.4,97.5,7.74,43.15
359,10,992.7398,994.8661,2126.27,66,67.1,32.71,171.68,48.9,106.59,23.43,100.63
360,10,995.9297,997.6605,1730.81,73,55.2,24.04,163.77,36.82,79.48,38.51,123.61
361,10,997.9972,998.9617,964.54,60,53.9,16.34,163.18,42.5,60.99,43.81,92.86
362,10,1001.7055,1003.3411,1635.6,34,51.9,49.56,175.29,51.05,61.7,36.17,81.97
363,10,1006.3557,1007.1909,835.22,14,52.9,64.22,166.46,37.91,80.23,44.85,92.75
364,10,1011.2487,1011.4174,168.75,10,70.2,18.73,173.37,35.24,55.86,21.88,106.65
365,10,1012.627,1015.666,3039.06,64,58.1,48.24,164.61,49.89,82.75,23.35,90.92
366,10,1016.5723,1017.3171,744.77,35,47,21.9,155.77,76.14,82.61,16.51,63.62
367,10,1089.0131,1090.1915,1178.36,7,45.2,196.36,158.29,84.4,84.38,15.06,42.03
368,10,1221.1735,1221.6505,476.97,6,30.4,95.35,144.37,82.74,117.89,22.92,55.98
369,10,1261.9081,1263.9529,2044.78,46,54.2,45.44,154.94,100.43,116.07,9.67,51.35
370,11,152.2629,152.8935,630.65,11,48.4,63.04,161.89,47.66,47.61,26.64,85.55
371,11,314.4172,318.6024,4185.19,94,57.1,45,172.18,63.89,93.36,14.25,111.97
372,11,321.0658,323.1491,2083.31,55,65.5,38.58,183.94,58.14,101.25,16.66,114.23
373,11,573.8954,575.0789,1183.51,22,55.5,52.52,170.72,98.8,111.38,10,82.79
374,11,575.6109,576.2119,601.02,15,48,42.92,164.7,72.34,114.38,15.3,97.61
375,11,586.2841,586.5064,222.32,6,48.7,44.43,169.39,90.55,80.31,21.51,105.39
376,11,586.9191,586.9949,75.81,3,56.3,37.81,171.88,49.19,90.56,19.5,31.69
377,11,589.8541,591.1701,1315.96,27,53.8,50.61,175.2,93.69,79.54,16.85,70.31
378,11,591.56,592.9539,1393.9,38,57.2,37.67,176.57,57.34,82.94,15.75,82.98
379,11,594.2512,596.4923,2241.06,53,47.3,43.09,170.12,49.24,53.67,31.17,85.83
380,11,596.9766,598.0157,1039.13,25,52.2,43.29,176.72,45.57,85.69,29.78,104.2
381,11,598.8962,601.9909,3094.71,58,53.1,54.29,173.02,42.86,65.81,25.98,87.4
382,11,602.6986,603.359,660.4,42,59.9,16.1,179.22,38.57,86.09,33.25,99.29
383,11,603.6321,604.0815,449.39,11,51.7,44.92,180.48,64.55,76.81,19.28,67.45
384,11,605.2565,608.3918,3135.25,76,63.3,41.8,177.22,48.22,116.36,24.81,102.2
385,11,608.875,610.7339,1858.93,53,66.5,35.74,183.79,59.06,118.38,13.39,86.65
386,13,58.6874,60.067,1379.63,9,44,172.43,155.38,54.38,106.83,40.08,129.88
387,13,172.1166,173.5869,1470.27,66,66,22.62,171.33,28.96,103.98,39.14,103.09
388,13,173.7915,174.1287,337.23,14,60.2,25.93,167.86,40.43,71.2,42.39,99.64
389,13,174.4296,175.4699,1040.32,25,55.7,43.34,168.95,49.59,77.19,35.26,105.73
390,13,186.5068,188.113,1606.15,16,45,107.06,157.27,93.21,97.29,12.93,48.26
391,13,255.0785,256.5409,1462.38,41,54,36.55,161.44,41.93,112.24,30.19,105.5
392,13,257.4754,258.1457,670.24,6,55.9,134.01,158.89,81.31,103.03,18.38,55.41
393,13,258.9106,259.9184,1007.76,7,48,167.93,161.75,87.85,105.39,20.45,86.31
394,13,260.7872,261.1222,334.94,3,56.3,167.37,159.6,80.44,102.38,18.56,80.81
395,13,267.5296,267.8498,320.21,9,74.9,40,174.14,75.42,74.56,12.38,89
396,13,279.7196,279.8598,140.2,3,56,70,153.7,53.82,147,19.12,131.81
397,13,293.7568,294.0802,323.39,14,43.8,24.55,174.68,59.69,74.76,22.42,79.27
398,13,386.0611,387.0056,944.47,17,39.6,58.86,150.31,87.28,66.97,19.76,74.83
399,13,432.3285,433.1956,867.11,11,44,86.69,154.6,93.02,97.96,10.2,29.87
400,13,476.2378,477.0584,820.6,17,46.7,51.27,154.37,62.1,70.15,15.05,43.7
401,13,477.3521,479.4533,2101.19,44,46.7,48.62,160.14,77.39,72.23,12.51,52.54
402,13,480.9433,482.212,1268.71,27,59.3,48.79,159.47,91.24,66.85,7.54,26.02
403,14,132.9861,133.3172,331.07,11,41.3,33.09,153.77,82.13,69.02,16.14,48.88
404,14,135.101,135.1691,68.07,3,53.9,33.93,160.21,42.25,45.19,26.06,41.25
405,14,138.2225,138.5347,312.23,13,41,26,152.12,85.76,58.96,16.78,38.89
406,14,220.7233,221.4062,682.91,4,38.5,222.18,161.13,83.31,109.34,19.87,85.81
407,14,223.5012,223.8276,326.35,3,48,163.08,169.02,61.34,90.38,15.56,78.56
408,14,224.3418,226.7253,2383.5,40,45.2,59.64,167.85,72.92,81.1,23.01,72.97
409,14,227.1555,227.2707,115.26,3,54.7,57.53,161.52,49.77,48.38,29.06,62.06
410,14,227.8054,228.1637,358.27,7,52.6,59.68,169.88,52.83,89.6,20.09,102.7
411,14,229.1097,229.7023,592.58,9,41.2,64.36,159.49,63.08,101.12,16.88,78
412,14,252.1417,255.271,3129.3,33,55.7,92.67,166.82,27.78,120.77,37.24,90.65
413,14,272.3725,273.1417,769.23,9,45.4,96.13,161.74,94.52,110.81,7.75,53.81
414,14,275.9105,276.0745,163.93,6,38.8,32.75,154,82.75,51.28,18.56,27.94
415,14,291.7225,292.0408,318.28,4,34.7,106.03,161.18,92.22,88.34,21.14,84.96
416,14,292.6587,293.545,886.32,6,49.9,177.22,168.61,84.78,95.91,16.41,38.72
417,14,326.6206,327.9486,1328.01,26,37.4,53.11,155.41,97.96,71.19,10.14,75.74
418,14,328.6811,329.2698,588.66,8,36,84.07,159.21,88.96,70.38,9.37,95.95
419,14,356.5912,358.1418,1550.56,16,50.7,103.36,166.13,91.47,97.49,15.79,67.29
420,14,375.9174,377.2772,1359.78,47,49.7,29.56,164.67,92.9,82.91,13.42,40.24
421,14,385.4212,386.5618,1140.59,35,43.4,33.54,159.07,95.14,73.48,11.04,75.99
422,14,386.8376,387.3765,538.85,16,35.5,32.31,150.77,82.81,80.28,21.56,62.14
423,14,394.4772,397.5953,3118.1,179,55.3,17.47,172.41,44.51,105.13,39.6,115.88
424,14,399.4909,400.778,1287.08,17,50.9,78.26,166.98,63.28,111.29,25.76,128.53
