Train_num(No.),Ori_file_num(No.),Train_start(s),Train_end(s),Train_duration(ms),Num_of_pulses,Mean_SNR(dB),Mean_IPI(ms),Mean_SPLpp(dB),Mean_Duration(μs),Mean_Fpeak(kHz),Mean_Bandwidth_-3dB(kHz),Mean_Bandwidth_-10dB(kHz)
777,29,1429.085,1429.1334,48.38,3,35.6,23.76,164.34,117.01,111.03,10.9,55.8
778,29,1621.7644,1622.5351,770.75,8,45.2,110.08,162.89,83.77,98.58,17.93,63
779,29,1667.0938,1668.836,1742.17,14,43.2,134,162.01,116.74,97.06,12.08,71.98
780,29,1674.6901,1676.1951,1504.99,15,39.9,107.41,159.63,84.63,82.36,9.81,75.33
781,30,164.6255,169.0521,4426.65,76,47.4,58.9,167.05,113.58,108.92,9.78,47.57
782,30,177.1234,184.6354,7511.97,62,58,121.34,170.41,95.51,111.74,11.32,46.91
783,30,206.6204,207.4128,792.4,9,40.3,98.34,159.82,92.57,92.68,17.1,70.26
784,30,249.4787,250.0515,572.72,5,43.9,143.13,162.92,86.81,95.17,13.28,58.84
785,30,252.5883,253.4366,848.32,7,43.7,141.35,162.86,73.41,99.08,22.66,66.7
786,30,293.217,293.5885,371.52,3,39.8,185.66,157.32,68.87,90,28.88,75.38
787,30,340.7506,341.5791,828.47,5,35.5,207.06,160.62,101.19,113.06,11.05,53.43
788,30,610.2046,613.824,3619.37,43,45,86.17,163.18,88.46,103.03,14.77,56.99
789,30,619.0887,620.1814,1092.75,10,46.8,121.39,159.6,86.46,111.21,8.55,43.88
790,30,672.6636,672.9196,256.05,3,40.2,127.92,155.11,83.91,90.94,16.5,53.62
791,30,751.1338,751.9251,791.34,4,34,263.71,153.13,75.95,79.03,13.78,73.12
792,30,952.2496,956.6714,4421.84,37,48,118.76,162.75,93.8,112.09,10.43,43.91
793,30,1007.3463,1007.8808,534.47,4,46.3,178.09,149.09,102.43,97.45,10.55,57.8
794,30,1116.7509,1117.4216,670.68,8,31.1,95.53,150.55,109.72,89.54,15.99,48.05
795,30,1136.9266,1137.7124,785.78,5,38.1,196.39,152.26,74.65,93.26,22.16,75.83
796,30,1149.3631,1149.5618,198.72,4,34.3,66.17,144.41,87.67,92.53,8.86,88.31
797,30,1151.6621,1151.8899,227.76,4,30.6,75.85,141.67,95.05,113.77,8.16,68.48
798,30,1336.9597,1337.4341,474.38,8,29.7,67.74,151.19,107.19,85.24,9.86,72.7
799,31,205.8317,206.4184,586.66,5,53.9,146.61,157.54,92.71,112.16,8.1,59.17
800,31,221.6624,222.9896,1327.2,9,54,165.88,159.21,93.94,102.62,10.19,28
801,31,431.3698,431.8123,442.55,4,39.8,146.57,159.03,98.5,84.26,11.27,55.8
802,31,716.6514,717.2606,609.21,7,43.4,101.5,165.33,97.03,89.21,9.9,70.69
803,31,747.632,748.8961,1264.02,11,41.9,126.38,157.04,77.02,80.95,30.22,80.59
804,31,750.3414,753.7513,3409.89,30,45.3,117.58,163.04,108.01,110.84,9.66,47.23
805,31,754.9549,755.9041,949.3,11,39,94.91,155.89,85.7,102.78,10.28,74.4
806,31,778.3578,780.8788,2521.05,21,43.1,126.04,155.7,95.73,92.87,15.13,67.5
807,31,800.3828,802.44,2057.23,24,47.2,89.44,162.07,77.4,86.81,17.67,65.09
808,31,802.8284,804.676,1847.68,27,51,71.06,166.7,78.83,97.02,16.02,68.54
809,31,826.4333,826.7239,290.59,6,37.8,58.08,156.03,99.59,48.09,28.74,63.97
810,31,1469.4487,1470.9607,1511.95,14,41.5,116.29,155.25,95.86,91.08,16.07,67.26
811,31,1515.1396,1515.3537,214.11,3,48.1,106.96,152.36,86.81,88.12,14.44,91.5
812,31,1555.8806,1556.8621,981.51,14,33.7,75.3,147.32,99.49,58.65,17.83,71.94
813,31,1558.5921,1560.2787,1686.61,9,49.5,210.8,156.18,75.23,90.94,9.69,67.44
814,31,1583.0288,1583.7963,767.51,4,40.4,255.77,156.85,73.78,80.58,19.12,78.19
815,31,1586.3312,1587.3358,1004.63,4,29.1,331.98,150.02,86.81,71.02,13.08,89.3
816,32,491.3795,491.9171,537.57,4,39.9,179.12,146.65,64.24,63.7,17.02,57.94
